## location: Lindau
## highway: A96
## id: 9250
date,pkw,lkw,mot,various,total
2010-05-13,18707,888,611,3970,24176
2010-05-14,18666,4510,491,10279,33946
2010-05-15,18846,1444,463,4700,25453
2010-05-16,24613,850,695,4409,30567
2010-05-17,16243,5210,429,11243,33125
2010-05-18,14309,5653,332,11942,32236
2010-05-19,15366,5794,344,12043,33547
2010-05-20,16824,5635,421,12236,35116
2010-05-21,21240,5030,522,12517,39309
2010-05-22,21128,1764,924,6689,30505
2010-05-23,17847,519,762,3504,22632
2010-05-24,21476,782,918,4374,27550
2010-05-25,17380,5784,497,12620,36281
2010-05-26,15161,6015,407,12864,34447
2010-05-27,16116,5968,431,12928,35443
2010-05-28,20166,5242,547,12296,38251
2010-05-29,20279,1870,725,6451,29325
2010-05-30,17887,721,454,3826,22888
2010-05-31,15620,5534,412,11869,33435
2010-06-01,14584,5990,401,12551,33526
2010-06-02,19048,5788,685,13044,38565
2010-06-03,17947,909,1030,4506,24392
2010-06-04,19945,5083,769,12007,37804
2010-06-05,21728,1872,932,6964,31496
2010-06-06,24157,886,1327,5305,31675
2010-06-07,16244,5457,437,11988,34126
2010-06-08,14412,5813,405,12291,32921
2010-06-09,14776,5756,436,12234,33202
2010-06-10,16373,5809,475,12592,35249
2010-06-11,19903,5032,637,11596,37168
2010-06-12,17548,1688,619,5492,25347
2010-06-13,17826,691,606,3563,22686
2010-06-14,15980,5458,480,11924,33842
2010-06-15,14249,5748,416,12142,32555
2010-06-16,14744,5770,428,12250,33192
2010-06-17,16734,5807,482,12611,35634
2010-06-18,20107,4876,580,11172,36735
2010-06-19,17789,1607,481,5191,25068
2010-06-20,18703,700,576,3575,23554
2010-06-21,15866,5256,387,11370,32879
2010-06-22,14576,5774,391,12050,32791
2010-06-23,15470,5932,471,12492,34365
2010-06-24,17458,5898,561,12967,36884
2010-06-25,21858,5040,764,12100,39762
2010-06-26,20176,1723,729,5824,28452
2010-06-27,20962,768,901,4277,26908
2010-06-28,15944,5179,536,11351,33010
2010-06-29,14978,5710,470,12104,33262
2010-06-30,15821,5804,465,12354,34444
2010-07-01,17426,5727,582,12761,36496
2010-07-02,21979,5002,737,12012,39730
2010-07-03,19893,1452,717,5483,27545
2010-07-04,21315,768,849,4208,27140
2010-07-05,17938,5067,526,11431,34962
2010-07-06,16046,5464,507,11887,33904
2010-07-07,16711,5720,486,12436,35353
2010-07-08,18408,5575,491,12460,36934
2010-07-09,23485,5092,724,12236,41537
2010-07-10,22396,1408,677,5772,30253
2010-07-11,21705,765,831,4441,27742
2010-07-12,17094,5134,445,11379,34052
2010-07-13,17278,5609,441,12159,35487
2010-07-14,17887,5857,446,12823,37013
2010-07-15,20981,5525,545,12818,39869
2010-07-16,25492,4983,754,12270,43499
2010-07-17,25169,1440,716,5964,33289
2010-07-18,25667,876,831,5038,32412
2010-07-19,19695,5328,538,12112,37673
2010-07-20,17357,5501,476,12140,35474
2010-07-21,17854,5711,518,12380,36463
2010-07-22,19923,5348,499,12392,38162
2010-07-23,24674,4662,584,11784,41704
2010-07-24,23775,1416,425,5840,31456
2010-07-25,24663,726,665,4459,30513
2010-07-26,19953,4725,487,11180,36345
2010-07-27,18174,4908,377,10940,34399
2010-07-28,19722,5020,492,11507,36741
2010-07-29,16208,4303,286,10152,30949
2010-07-30,25903,4401,670,11588,42562
2010-07-31,27623,1288,770,6170,35851
2010-08-01,25171,949,697,5615,32432
2010-08-02,21423,4417,553,10818,37211
2010-08-03,18991,4654,450,10815,34910
2010-08-04,20189,4692,480,11121,36482
2010-08-05,20130,4456,476,10737,35799
2010-08-06,23936,4107,614,10756,39413
2010-08-07,23590,1582,599,6670,32441
2010-08-08,28588,834,814,5335,35571
2010-08-09,22115,4556,745,11198,38614
2010-08-10,19404,4469,612,10507,34992
